id,Name,Verfication Link,image,category,platform
1,META Front-end Professional Certification,https://coursera.org/share/0a950a3994e4aa550d83de3a782688bc,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/Meta Front-End Developer Specilization.png,specialization,coursera
2,Introduction to Front-End Development,https://coursera.org/share/da47779f62cfc68644306de9fd0dfb22,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META Introduction to Front-End Development.png,,coursera
3,Programming with JavaScript,https://coursera.org/share/2d21fa57a9e462ab4ffd59bc2a6b1e9d,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META Programming with JavaScript.png,,coursera
4,Version Control,https://coursera.org/share/95fea612b7054859bd8530d5cee54e56,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META Version Control.png,,coursera
5,HTML and CSS in depth,https://coursera.org/share/554e36b11dd05a1dfcf113cb30894f40,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META HTML and CSS in depth.png,,coursera
6,React Basics,https://coursera.org/share/5192b38b320217a4e70a26333f9691df,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META React Basics.png,,coursera
7,Advanced React,https://coursera.org/share/6db620d3c6210805bc2aeaa100256f74,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META Advanced React.png,,coursera
8,Principles of UX/UI Design,https://coursera.org/share/6e194eb8bc9d00d2a71c9ccbb8c1edb3,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META Principles of UX UI Design.png,,coursera
9,Front-End Developer Capstone,https://coursera.org/share/c7daedc2f4d534252c04e4572ecd64ae,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META Front-End Developer Capstone.png,,coursera
10,Coding Interview Preparation,https://coursera.org/share/4a859d2abe15980bbbaaa5106621d122,https://raw.githubusercontent.com/keshavop/Certificates/main/META Front-end Professional Certificate Coursera/META Coding Interview Preparation.png,,coursera
11,META Back-end Professional Certification,https://coursera.org/share/f0c890d8a5227e31c6542d93b11cdc7b,https://raw.githubusercontent.com/keshavop/Certificates/main/META Back-end Professional Certificate Coursera/Meta Back-End Developer Specilization.png,specialization,coursera
12,Introduction to Back-End Development,https://coursera.org/share/2dd652b2b061c05473118398dac703a1,https://raw.githubusercontent.com/keshavop/Certificates/main/META Back-end Professional Certificate Coursera/META Introduction to Back-End Development.png,,coursera
13,Programming in Python,https://coursera.org/share/5d24f95458dc96bff1911035463e1d2a,https://raw.githubusercontent.com/keshavop/Certificates/main/META Back-end Professional Certificate Coursera/META Programming in Python.png,,coursera
14,Version Control,https://coursera.org/share/95fea612b7054859bd8530d5cee54e56,https://raw.githubusercontent.com/keshavop/Certificates/main/META Back-end Professional Certificate Coursera/META Version Control.png,,coursera
15,Introduction to Databases for Back-End Development,https://coursera.org/share/5ffe66d5686ee98fec2f1fec83064069,https://raw.githubusercontent.com/keshavop/Certificates/main/META Back-end Professional Certificate Coursera/META Introduction to Databases for Back-End Development.png,,coursera
16,Django Web Framework,https://coursera.org/share/27843831629b825279f6538899f6ba4e,https://raw.githubusercontent.com/keshavop/Certificates/main/META Back-end Professional Certificate Coursera/META Django Web Framework.png,,coursera
